net,length_um
_0083_,7.845
_0560_,7.82
rs_inst.vj_arr\[3\]\[25\],7.8
net217,7.8
rs_inst.vj_arr\[3\]\[16\],7.78
net299,7.78
net352,7.78
_0448_,7.76
_0574_,7.76
_0165_,7.745
_1014_,7.74
_0092_,7.735
_0275_,7.7
_0796_,7.7
_0051_,7.685
_0626_,7.68
rs_inst.vj_arr\[3\]\[8\],7.68
net386,7.68
_0755_,7.67
rs_inst.vj_arr\[6\]\[14\],7.64
net213,7.64
rs_inst.vj_arr\[6\]\[23\],7.635
_0007_,7.625
_1218_,7.62
_0777_,7.6
_0896_,7.6
_0904_,7.56
_1042_,7.56
net115,7.56
net126,7.56
net150,7.56
net312,7.56
_0676_,7.54
_0501_,7.52
_0628_,7.52
_0941_,7.52
net304,7.52
_0077_,7.48
rs_inst.vj_arr\[5\]\[11\],7.44
net317,7.44
rs_inst.busy\[4\],7.42
rs_inst.vj_arr\[5\]\[5\],7.4
_0146_,7.385
_0215_,7.385
_0259_,7.385
_0355_,7.385
_1007_,7.36
_0099_,7.345
net198,7.34
_0619_,7.33
_0557_,7.3
cdb_inst.alu_value\[5\],7.3
_0483_,7.26
_0738_,7.26
_0185_,7.24
_0476_,7.24
_0585_,7.24
_0803_,7.24
_0911_,7.24
net371,7.24
_0844_,7.22
_0905_,7.22
_0908_,7.22
rs_inst.vj_arr\[3\]\[6\],7.22
net177,7.22
net284,7.22
rs_inst.vj_arr\[0\]\[13\],7.2
rs_inst.vj_arr\[3\]\[22\],7.2
_0125_,7.18
_0899_,7.18
_0990_,7.18
_1017_,7.18
cdb_inst.alu_value\[18\],7.18
net260,7.16
_0451_,7.14
_0934_,7.14
_0950_,7.14
_0759_,7.12
_0102_,7.105
_0654_,7.1
_0829_,7.1
net117,7.1
net123,7.1
net230,7.1
net356,7.1
net389,7.1
_0675_,7.06
_0766_,7.06
_1194_,7.06
rs_inst.vj_arr\[6\]\[3\],7.06
net197,7.06
net359,7.06
rs_inst.vj_arr\[2\]\[22\],7.04
rs_inst.vj_arr\[4\]\[8\],6.98
net186,6.98
net249,6.98
net264,6.98
_0418_,6.94
rs_inst.vj_arr\[1\]\[30\],6.94
_0069_,6.925
_0535_,6.9
_1151_,6.88
net210,6.86
_0033_,6.825
_0082_,6.825
_0103_,6.825
_0104_,6.825
_0164_,6.825
_0172_,6.825
_0179_,6.825
_0217_,6.825
_0220_,6.825
_0252_,6.825
_0304_,6.825
_0311_,6.825
_0362_,6.825
_0928_,6.82
_1050_,6.82
_0739_,6.78
rs_inst.vj_arr\[1\]\[21\],6.78
_0177_,6.765
_0128_,6.76
_0130_,6.76
_0538_,6.76
_0545_,6.76
_0709_,6.76
_0787_,6.76
_0859_,6.76
net333,6.76
net363,6.76
_0111_,6.74
rs_inst.vj_arr\[1\]\[0\],6.74
rs_inst.vj_arr\[6\]\[8\],6.74
rs_inst.vj_arr\[7\]\[21\],6.74
net250,6.74
_0274_,6.72
_0647_,6.72
_0720_,6.72
